CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R4[SURVEY    ]: carry=1 | base=1.16 | wall=2.41 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.58 | wall=3.09 | search=119 | target=site(-0.42,-0.52)
R6[SEARCH    ]: carry=0 | base=3.18 | wall=1.06 | search=171 | target=site(-2.47,2.20)
R7[RTB       ]: carry=1 | base=1.24 | wall=2.26 | search=  0 | target=none
R8[GIVE_UP   ]: carry=0 | base=1.58 | wall=1.95 | search=312 | target=none
R9[RTB       ]: carry=1 | base=2.07 | wall=1.90 | search=  0 | target=none
R10[SURVEY    ]: carry=1 | base=1.44 | wall=2.21 | search=  0 | target=none
R11[RTB       ]: carry=1 | base=1.11 | wall=2.40 | search=  0 | target=none
R12[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=site(2.69,2.81)
R13[GIVE_UP   ]: carry=0 | base=1.85 | wall=1.66 | search=2496 | target=none
R14[GIVE_UP   ]: carry=0 | base=2.99 | wall=0.90 | search=468 | target=none
R15[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=site(-0.63,1.14)
R16[SEARCH    ]: carry=0 | base=1.16 | wall=2.35 | search= 56 | target=site(0.14,-1.17)

======================================================================
Step 3500 (1.9 min) | Pickups: 28 | Deposits: 25 | Rate: 13.39 tags/min | phero_entries=15 max_w=0.701
======================================================================
R1[SEARCH    ]: carry=0 | base=3.30 | wall=0.38 | search=1110 | target=site(2.03,1.04)
R2[WALL_ESC  ]: carry=0 | base=4.46 | wall=0.34 | search=3032 | target=none
R3[RTB       ]: carry=1 | base=1.67 | wall=1.83 | search=  0 | target=none
R4[SITE      ]: carry=0 | base=0.31 | wall=3.24 | search=  0 | target=site(-0.41,1.09)
R5[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.32 | search=  0 | target=site(-0.55,-0.42)
R6[RTB       ]: carry=1 | base=2.06 | wall=2.00 | search=  0 | target=none
R7[SITE      ]: carry=0 | base=0.66 | wall=2.85 | search=  0 | target=site(-0.12,2.17)
R8[PHERO     ]: carry=0 | base=0.34 | wall=3.24 | search=  0 | target=phero(-0.12,2.17)
R9[RTB       ]: carry=1 | base=0.43 | wall=3.15 | search=  0 | target=none
R10[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.32 | search=  0 | target=site(0.63,-1.30)
R11[SITE      ]: carry=0 | base=0.79 | wall=2.75 | search=  0 | target=site(-0.41,2.06)
R12[SITE      ]: carry=0 | base=1.97 | wall=2.09 | search=  0 | target=site(2.69,2.81)
R13[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.28 | search=  0 | target=phero(-0.12,2.33)
R14[GIVE_UP   ]: carry=0 | base=1.09 | wall=2.56 | search=468 | target=none
R15[SEARCH    ]: carry=0 | base=1.26 | wall=2.36 | search=134 | target=site(-0.63,1.14)
R16[PHERO     ]: carry=0 | base=0.27 | wall=3.25 | search=  0 | target=phero(-0.41,2.06)

======================================================================
Step 4000 (2.1 min) | Pickups: 33 | Deposits: 27 | Rate: 12.66 tags/min | phero_entries=12 max_w=0.911
======================================================================
R1[SEARCH    ]: carry=0 | base=3.33 | wall=0.36 | search=1610 | target=site(2.03,1.04)
R2[SEARCH    ]: carry=0 | base=4.30 | wall=0.39 | search=3532 | target=none
R3[RTB       ]: carry=1 | base=1.10 | wall=2.40 | search=  0 | target=none
R4[SURVEY    ]: carry=1 | base=1.21 | wall=2.33 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.53 | wall=2.97 | search=256 | target=site(-0.55,-0.42)
R6[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.33 | search=  0 | target=site(-1.84,1.86)
R7[SITE      ]: carry=0 | base=1.88 | wall=1.62 | search=  0 | target=site(-0.12,2.17)
R8[PHERO     ]: carry=0 | base=2.04 | wall=1.46 | search=  0 | target=phero(-0.12,2.17)
R9[SITE      ]: carry=0 | base=1.50 | wall=2.36 | search=  0 | target=site(1.59,1.32)
