CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R13[SITE      ]: carry=0 | base=1.07 | wall=2.64 | search=  0 | target=site(-1.13,0.78)
R14[PHERO     ]: carry=0 | base=0.27 | wall=3.26 | search=  0 | target=phero(0.56,-1.63)
R15[PHERO     ]: carry=0 | base=0.27 | wall=3.27 | search=  0 | target=phero(-1.13,0.78)
R16[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=phero(-1.13,0.78)

======================================================================
Step 3000 (1.6 min) | Pickups: 23 | Deposits: 20 | Rate: 12.50 tags/min | phero_entries=12 max_w=0.833
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.37 | wall=0.33 | search=1143 | target=site(1.26,-1.29)
R2[SEARCH    ]: carry=0 | base=1.95 | wall=1.62 | search=655 | target=site(-0.25,-0.76)
R3[SURVEY    ]: carry=1 | base=3.08 | wall=1.25 | search=  0 | target=none
R4[GIVE_UP   ]: carry=0 | base=0.25 | wall=3.26 | search=936 | target=none
R5[SURVEY    ]: carry=1 | base=0.88 | wall=2.67 | search=  0 | target=none
R6[PHERO     ]: carry=0 | base=2.92 | wall=1.32 | search=  0 | target=phero(-2.08,2.31)
R7[SITE      ]: carry=0 | base=0.30 | wall=3.21 | search=  0 | target=site(-0.08,-0.76)
R8[BASE_ESC  ]: carry=0 | base=0.19 | wall=3.33 | search=  0 | target=site(0.30,1.83)
R9[SITE      ]: carry=0 | base=0.30 | wall=3.20 | search=  0 | target=site(0.26,1.94)
R10[GIVE_UP   ]: carry=0 | base=3.05 | wall=0.78 | search=2652 | target=none
R11[SITE      ]: carry=0 | base=1.60 | wall=1.90 | search=  0 | target=site(-2.43,-0.04)
R12[SEARCH    ]: carry=0 | base=1.06 | wall=2.69 | search=309 | target=site(0.12,-0.97)
R13[RTB       ]: carry=1 | base=1.34 | wall=2.46 | search=  0 | target=none
R14[PHERO     ]: carry=0 | base=0.44 | wall=3.17 | search=  0 | target=phero(0.56,-1.63)
R15[SEARCH    ]: carry=0 | base=1.27 | wall=2.53 | search=156 | target=phero(-1.13,0.78)
R16[SEARCH    ]: carry=0 | base=1.35 | wall=2.40 | search= 63 | target=phero(-1.13,0.78)

======================================================================
Step 3500 (1.9 min) | Pickups: 29 | Deposits: 22 | Rate: 11.79 tags/min | phero_entries=9 max_w=0.507
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.36 | wall=0.33 | search=1643 | target=site(1.26,-1.29)
R2[WALL_ESC  ]: carry=0 | base=3.20 | wall=0.32 | search=1155 | target=site(-0.25,-0.76)
R3[RTB       ]: carry=1 | base=1.55 | wall=2.35 | search=  0 | target=none
R4[SURVEY    ]: carry=1 | base=1.51 | wall=2.00 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=0.84 | wall=2.70 | search=  3 | target=site(-0.27,-0.84)
R6[RTB       ]: carry=1 | base=2.85 | wall=1.39 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=0.64 | wall=2.86 | search=  0 | target=none
R8[SURVEY    ]: carry=1 | base=1.58 | wall=1.94 | search=  0 | target=none
R9[RTB       ]: carry=1 | base=1.47 | wall=2.04 | search=  0 | target=none
R10[GIVE_UP   ]: carry=0 | base=1.13 | wall=2.49 | search=2652 | target=none
R11[RTB       ]: carry=1 | base=2.40 | wall=1.10 | search=  0 | target=none
R12[SEARCH    ]: carry=0 | base=1.82 | wall=1.86 | search=809 | target=site(0.12,-0.97)
R13[SITE      ]: carry=0 | base=0.59 | wall=3.08 | search=  0 | target=site(-1.13,0.88)
R14[SEARCH    ]: carry=0 | base=1.73 | wall=1.95 | search=162 | target=phero(0.56,-1.63)
R15[SEARCH    ]: carry=0 | base=2.26 | wall=1.62 | search=656 | target=phero(-1.13,0.78)
R16[SEARCH    ]: carry=0 | base=2.11 | wall=1.75 | search=563 | target=phero(-1.13,0.78)

======================================================================
Step 4000 (2.1 min) | Pickups: 30 | Deposits: 25 | Rate: 11.72 tags/min | phero_entries=8 max_w=0.637
======================================================================
R1[GIVE_UP   ]: carry=0 | base=3.06 | wall=0.62 | search=2028 | target=none
R2[SEARCH    ]: carry=0 | base=3.16 | wall=0.36 | search=1655 | target=site(-0.25,-0.76)
R3[SITE      ]: carry=0 | base=0.41 | wall=3.16 | search=  0 | target=site(-2.10,2.24)
R4[RTB       ]: carry=1 | base=0.38 | wall=3.13 | search=  0 | target=none
R5[SEARCH    ]: carry=0 | base=1.68 | wall=1.90 | search=503 | target=site(-0.27,-0.84)
R6[RTB       ]: carry=1 | base=0.93 | wall=2.81 | search=  0 | target=none
R7[SEARCH    ]: carry=0 | base=0.85 | wall=2.68 | search=129 | target=site(-0.12,-0.79)
R8[RTB       ]: carry=1 | base=0.29 | wall=3.22 | search=  0 | target=none
R9[SITE      ]: carry=0 | base=0.30 | wall=3.24 | search=  0 | target=site(0.16,1.44)
R10[PHERO     ]: carry=0 | base=0.46 | wall=3.04 | search=  0 | target=phero(-1.13,0.88)
R11[RTB       ]: carry=1 | base=0.51 | wall=2.99 | search=  0 | target=none
R12[RTB       ]: carry=1 | base=1.20 | wall=2.42 | search=  0 | target=none
R13[SEARCH    ]: carry=0 | base=1.11 | wall=2.62 | search=291 | target=site(-1.13,0.88)
R14[GIVE_UP   ]: carry=0 | base=0.27 | wall=3.30 | search=312 | target=none
R15[WALL_ESC  ]: carry=0 | base=3.28 | wall=0.34 | search=1156 | target=phero(-1.13,0.78)
R16[SEARCH    ]: carry=0 | base=3.12 | wall=0.41 | search=1063 | target=phero(-1.13,0.78)

======================================================================
Step 4500 (2.4 min) | Pickups: 31 | Deposits: 31 | Rate: 12.92 tags/min | phero_entries=10 max_w=0.455
======================================================================
R1[GIVE_UP   ]: carry=0 | base=1.15 | wall=2.42 | search=2028 | target=none
R2[GIVE_UP   ]: carry=0 | base=1.57 | wall=1.95 | search=1716 | target=none
R3[SITE      ]: carry=0 | base=2.31 | wall=1.83 | search=  0 | target=site(-2.10,2.24)
R4[SEARCH    ]: carry=0 | base=1.48 | wall=2.03 | search= 21 | target=site(0.22,1.49)
R5[SEARCH    ]: carry=0 | base=3.23 | wall=0.76 | search=1003 | target=site(-0.27,-0.84)
R6[SITE      ]: carry=0 | base=1.02 | wall=2.70 | search=  0 | target=site(-2.19,2.32)
R7[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=site(-0.20,-0.84)
R8[SEARCH    ]: carry=0 | base=1.57 | wall=1.96 | search= 18 | target=site(0.28,1.55)
R9[SEARCH    ]: carry=0 | base=1.29 | wall=2.22 | search=198 | target=site(0.16,1.44)
R10[SEARCH    ]: carry=0 | base=1.28 | wall=2.48 | search=231 | target=phero(-1.13,0.88)
R11[SITE      ]: carry=0 | base=1.41 | wall=2.09 | search=  0 | target=site(-2.44,-0.09)
R12[SITE      ]: carry=0 | base=0.72 | wall=2.93 | search=  0 | target=site(1.68,0.93)
R13[SEARCH    ]: carry=0 | base=1.80 | wall=1.90 | search=791 | target=site(-1.13,0.88)
R14[PHERO     ]: carry=0 | base=1.09 | wall=2.43 | search=  0 | target=phero(0.16,1.44)
R15[GIVE_UP   ]: carry=0 | base=1.85 | wall=1.74 | search=1248 | target=none
R16[GIVE_UP   ]: carry=0 | base=2.78 | wall=0.75 | search=1404 | target=none

======================================================================
Step 5000 (2.7 min) | Pickups: 38 | Deposits: 31 | Rate: 11.62 tags/min | phero_entries=10 max_w=0.092
======================================================================
R1[PHERO     ]: carry=0 | base=0.27 | wall=3.24 | search=  0 | target=phero(0.28,1.55)
R2[RTB       ]: carry=1 | base=0.54 | wall=2.96 | search=  0 | target=none
R3[RTB       ]: carry=1 | base=3.05 | wall=1.30 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=1.40 | wall=2.47 | search=521 | target=site(0.22,1.49)
R5[WALL_ESC  ]: carry=0 | base=4.42 | wall=0.31 | search=1503 | target=site(-0.27,-0.84)
R6[SITE      ]: carry=0 | base=2.77 | wall=1.45 | search=  0 | target=site(-2.19,2.32)
R7[SEARCH    ]: carry=0 | base=0.87 | wall=2.75 | search=299 | target=site(-0.20,-0.84)
R8[RTB       ]: carry=1 | base=1.08 | wall=2.44 | search=  0 | target=none
R9[SURVEY    ]: carry=1 | base=1.94 | wall=1.82 | search=  0 | target=none
R10[GIVE_UP   ]: carry=0 | base=1.51 | wall=2.07 | search=624 | target=none
R11[SURVEY    ]: carry=1 | base=2.50 | wall=1.00 | search=  0 | target=none
R12[RTB       ]: carry=1 | base=0.54 | wall=3.02 | search=  0 | target=none
R13[SURVEY    ]: carry=1 | base=2.94 | wall=0.84 | search=  0 | target=none
R14[SEARCH    ]: carry=0 | base=1.61 | wall=2.10 | search=418 | target=phero(0.16,1.44)
R15[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=phero(-2.19,2.32)
R16[GIVE_UP   ]: carry=0 | base=1.05 | wall=2.46 | search=1404 | target=none

======================================================================
Step 5500 (2.9 min) | Pickups: 41 | Deposits: 34 | Rate: 11.59 tags/min | phero_entries=8 max_w=0.412
======================================================================
