[robot2] Step 158000 | Picks: 3 | Deps: 3 | Rate: 0.07 deps/min (wall time)
[robot2] Step 160000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 162000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 164000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 166000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 168000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 170000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 172000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 174000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 176000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 178000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 180000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 182000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 184000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 186000 | Picks: 3 | Deps: 3 | Rate: 0.06 deps/min (wall time)
[robot2] Step 188000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 190000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 192000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 194000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 196000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 198000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 200000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 202000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 204000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 206000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 208000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 210000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 212000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 214000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 216000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 218000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 220000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 222000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 224000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 226000 | Picks: 3 | Deps: 3 | Rate: 0.05 deps/min (wall time)
[robot2] Step 228000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 230000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 232000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 234000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 236000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 238000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 240000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 242000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 244000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 246000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 248000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 250000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 252000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 254000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 256000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 258000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 260000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 262000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 264000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 266000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 268000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 270000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 272000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 274000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 276000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 278000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 280000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 282000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 284000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 286000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 288000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 290000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 292000 | Picks: 3 | Deps: 3 | Rate: 0.04 deps/min (wall time)
[robot2] Step 294000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 296000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 298000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 300000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 302000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 304000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 306000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 308000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 310000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 312000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 314000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 316000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 318000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 320000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 322000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 324000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 326000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 328000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 330000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 332000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 334000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 336000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 338000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 340000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 342000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 344000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 346000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 348000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 350000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 352000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 354000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 356000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 358000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 360000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 362000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 364000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 366000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 368000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 370000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 372000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 374000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 376000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 378000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 380000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 382000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 384000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 386000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 388000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 390000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 392000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 394000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 396000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 398000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 400000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 402000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 404000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 406000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 408000 | Picks: 3 | Deps: 3 | Rate: 0.03 deps/min (wall time)
[robot2] Step 410000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 412000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 414000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 416000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 418000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 420000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 422000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 424000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 426000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 428000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 430000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 432000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 434000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 436000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 438000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 440000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 442000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 444000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 446000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 448000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 450000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 452000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 454000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 456000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 458000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 460000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 462000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 464000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 466000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 468000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 470000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 472000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 474000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 476000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 478000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 480000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 482000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 484000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 486000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 488000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 490000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 492000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 494000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 496000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 498000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 500000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 502000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 504000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 506000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 508000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 510000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 512000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 514000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 516000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 518000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 520000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
[robot2] Step 522000 | Picks: 3 | Deps: 3 | Rate: 0.02 deps/min (wall time)
